Date,Product,Region,Units_Sold,Price,Revenue,Marketing_Spend,Inventory_Level,Season
2025-01-09,Vitamin C,South,230,19,4370,761,2139,Summer
2025-01-09,Antibiotic,West,269,45,12105,2545,3051,Monsoon
2025-01-09,Pain Relief,North,285,25,7125,4010,1778,Spring
2025-01-09,Cough Syrup,East,92,22,2024,1004,1345,Winter
2025-01-10,Paracetamol,East,170,27,4590,2147,2083,Spring
2025-01-10,Insulin,West,230,12,2760,820,1098,Spring
2025-01-10,Vitamin C,North,220,8,1760,4141,4011,Spring
2025-01-10,Antibiotic,West,259,40,10360,4342,3125,Spring
2025-01-10,Pain Relief,West,91,36,3276,871,515,Winter
2025-01-10,Cough Syrup,South,290,35,10150,2796,984,Winter
2025-01-11,Paracetamol,North,257,20,5140,3341,843,Summer
2025-01-11,Insulin,North,147,20,2940,2193,2355,Winter
2025-01-11,Vitamin C,West,55,22,1210,2859,4061,Winter
2025-01-11,Antibiotic,South,223,13,2899,4460,1077,Monsoon
2025-01-11,Pain Relief,North,146,9,1314,3391,566,Monsoon
2025-01-11,Cough Syrup,South,93,9,837,4521,1802,Monsoon
2025-01-12,Paracetamol,East,54,40,2160,3523,2916,Monsoon
2025-01-12,Insulin,East,115,50,5750,1044,3220,Spring
2025-01-12,Vitamin C,East,205,32,6560,4795,1309,Summer
2025-01-12,Antibiotic,North,85,48,4080,3663,2439,Monsoon
2025-01-12,Pain Relief,South,150,8,1200,2334,3352,Winter
2025-01-12,Cough Syrup,South,222,20,4440,2093,2986,Monsoon
2025-01-13,Paracetamol,West,185,44,8140,531,907,Winter
2025-01-13,Insulin,East,206,16,3296,3084,1101,Summer
2025-01-13,Vitamin C,North,255,44,11220,2074,3402,Summer
2025-01-13,Antibiotic,East,169,44,7436,4214,4174,Winter
2025-01-13,Pain Relief,West,165,21,3465,1419,1172,Winter
2025-01-13,Cough Syrup,East,195,13,2535,486,4438,Winter
2025-01-14,Paracetamol,North,159,11,1749,4578,4096,Winter
2025-01-14,Insulin,West,107,36,3852,4172,4409,Monsoon
2025-01-14,Vitamin C,South,59,49,2891,2231,620,Monsoon
2025-01-14,Antibiotic,North,143,50,7150,4313,4954,Monsoon
2025-01-14,Pain Relief,North,133,30,3990,693,1880,Summer
2025-01-14,Cough Syrup,West,58,32,1856,809,4125,Winter
2025-01-15,Paracetamol,South,257,26,6682,3539,752,Spring
2025-01-15,Insulin,North,259,33,8547,3263,4910,Monsoon
2025-01-15,Vitamin C,West,155,8,1240,2832,2231,Monsoon
2025-01-15,Antibiotic,North,69,33,2277,1918,775,Spring
2025-01-15,Pain Relief,West,131,20,2620,3945,3090,Monsoon
2025-01-15,Cough Syrup,North,132,38,5016,1396,1452,Summer
2025-01-16,Paracetamol,South,91,7,637,4378,2796,Winter
2025-01-16,Insulin,East,183,11,2013,653,3381,Summer
2025-01-16,Vitamin C,South,235,45,10575,4506,2700,Spring
2025-01-16,Antibiotic,East,282,19,5358,4533,1654,Monsoon
2025-01-16,Pain Relief,South,171,5,855,2906,3943,Winter
2025-01-16,Cough Syrup,East,218,32,6976,648,4682,Summer
2025-01-17,Paracetamol,South,192,8,1536,4008,4060,Winter
2025-01-17,Insulin,South,61,14,854,1138,1414,Spring
2025-01-17,Vitamin C,East,281,15,4215,4558,4700,Spring
2025-01-17,Antibiotic,South,82,6,492,4977,2736,Spring
2025-01-17,Pain Relief,South,59,35,2065,2270,2880,Monsoon
2025-01-17,Cough Syrup,South,143,10,1430,2087,3986,Monsoon
2025-01-18,Paracetamol,East,282,16,4512,2396,1834,Summer
2025-01-18,Insulin,West,161,29,4669,223,2533,Winter
2025-01-18,Vitamin C,West,164,42,6888,2466,2566,Winter
2025-01-18,Antibiotic,West,57,47,2679,3555,1225,Monsoon
2025-01-18,Pain Relief,South,227,10,2270,1786,2280,Monsoon
2025-01-18,Cough Syrup,West,198,17,3366,4412,4004,Spring
2025-01-19,Paracetamol,East,243,27,6561,4174,3574,Winter
2025-01-19,Insulin,North,124,32,3968,3325,3233,Winter
2025-01-19,Vitamin C,North,61,33,2013,4070,4484,Summer
2025-01-19,Antibiotic,North,227,15,3405,4968,560,Monsoon
2025-01-19,Pain Relief,East,253,14,3542,2602,4295,Monsoon
2025-01-19,Cough Syrup,West,179,22,3938,471,1738,Winter
2025-01-20,Paracetamol,South,135,21,2835,2692,898,Spring
2025-01-20,Insulin,East,143,12,1716,1204,1945,Monsoon
2025-01-20,Vitamin C,South,121,16,1936,4088,1043,Summer
2025-01-20,Antibiotic,West,89,40,3560,1356,2843,Monsoon
2025-01-20,Pain Relief,South,273,21,5733,792,1353,Spring
2025-01-20,Cough Syrup,East,136,24,3264,2976,4272,Spring
2025-01-21,Paracetamol,North,234,20,4680,2952,2776,Winter
2025-01-21,Insulin,West,200,31,6200,3311,4049,Monsoon
2025-01-21,Vitamin C,East,192,38,7296,4768,2734,Monsoon
2025-01-21,Antibiotic,North,238,33,7854,1984,1797,Spring
2025-01-21,Pain Relief,South,140,18,2520,1867,1179,Monsoon
2025-01-21,Cough Syrup,North,150,14,2100,3730,1923,Spring
2025-01-22,Paracetamol,North,166,12,1992,4245,4065,Spring
2025-01-22,Insulin,North,290,32,9280,4872,2802,Winter
2025-01-22,Vitamin C,South,255,24,6120,818,3590,Spring
2025-01-22,Antibiotic,North,107,10,1070,4013,1251,Winter
2025-01-22,Pain Relief,South,296,37,10952,4602,4890,Monsoon
2025-01-22,Cough Syrup,East,79,27,2133,612,3633,Monsoon
2025-01-23,Paracetamol,West,155,44,6820,2241,2765,Summer
2025-01-23,Insulin,North,240,10,2400,3127,1544,Spring
2025-01-23,Vitamin C,North,185,35,6475,3858,2197,Monsoon
2025-01-23,Antibiotic,West,188,42,7896,1073,4892,Spring
2025-01-23,Pain Relief,North,142,11,1562,3948,4462,Summer
2025-01-23,Cough Syrup,South,103,45,4635,1722,762,Summer
2025-01-24,Paracetamol,East,265,21,5565,2578,2042,Summer
2025-01-24,Insulin,West,85,22,1870,855,3446,Monsoon
2025-01-24,Vitamin C,West,71,28,1988,3242,1660,Spring
2025-01-24,Antibiotic,West,87,46,4002,1573,522,Winter
2025-01-24,Pain Relief,East,243,50,12150,1920,4223,Monsoon
2025-01-24,Cough Syrup,East,180,31,5580,4415,2818,Monsoon
2025-01-25,Paracetamol,South,128,15,1920,2468,4460,Spring
2025-01-25,Insulin,West,231,28,6468,762,3197,Spring
2025-01-25,Vitamin C,West,165,44,7260,3905,3297,Monsoon
2025-01-25,Antibiotic,West,221,27,5967,848,3252,Summer
2025-01-25,Pain Relief,West,220,31,6820,4821,578,Spring
2025-01-25,Cough Syrup,East,195,10,1950,3622,3866,Monsoon
2025-01-26,Paracetamol,North,145,9,1305,816,4646,Spring
2025-01-26,Insulin,North,243,7,1701,4216,4891,Monsoon
2025-01-26,Vitamin C,North,189,36,6804,3121,572,Spring
2025-01-26,Antibiotic,South,178,36,6408,1770,529,Monsoon
2025-01-26,Pain Relief,West,144,42,6048,1697,4942,Monsoon
2025-01-26,Cough Syrup,North,88,14,1232,2485,2173,Summer
2025-01-27,Paracetamol,West,258,47,12126,4803,4051,Spring
2025-01-27,Insulin,North,286,34,9724,980,3128,Spring
2025-01-27,Vitamin C,North,249,19,4731,1874,1757,Winter
2025-01-27,Antibiotic,North,57,24,1368,2522,1133,Spring
2025-01-27,Pain Relief,South,248,43,10664,3292,2139,Summer
2025-01-27,Cough Syrup,North,61,18,1098,4654,1046,Spring
2025-01-28,Paracetamol,South,198,17,3366,4853,3294,Monsoon
2025-01-28,Insulin,East,253,13,3289,2761,1293,Summer
2025-01-28,Vitamin C,North,299,7,2093,1882,782,Spring
2025-01-28,Antibiotic,South,160,17,2720,4358,2966,Monsoon
2025-01-28,Pain Relief,South,197,12,2364,3386,1371,Monsoon
2025-01-28,Cough Syrup,West,193,43,8299,4482,2811,Monsoon
2025-01-29,Paracetamol,North,208,50,10400,1794,4765,Spring
2025-01-29,Insulin,West,215,8,1720,1360,1013,Winter
2025-01-29,Vitamin C,West,128,16,2048,2402,3958,Monsoon
2025-01-29,Antibiotic,North,191,15,2865,4129,3796,Summer
2025-01-29,Pain Relief,West,237,22,5214,1251,1363,Winter
2025-01-29,Cough Syrup,South,221,11,2431,1925,3027,Summer
2025-01-30,Paracetamol,South,81,41,3321,2947,2501,Winter
2025-01-30,Insulin,East,230,24,5520,386,3445,Spring
2025-01-30,Vitamin C,North,135,46,6210,1155,2125,Summer
2025-01-30,Antibiotic,North,54,27,1458,2488,2017,Spring
2025-01-30,Pain Relief,West,99,22,2178,1436,4718,Summer
2025-01-30,Cough Syrup,North,193,47,9071,1500,3280,Spring
2025-01-31,Paracetamol,North,268,10,2680,941,3404,Summer
2025-01-31,Insulin,South,125,28,3500,3904,1161,Spring
2025-01-31,Vitamin C,East,116,32,3712,2067,1995,Monsoon
2025-01-31,Antibiotic,East,280,13,3640,2136,1713,Winter
2025-01-31,Pain Relief,North,113,41,4633,1269,830,Monsoon
2025-01-31,Cough Syrup,North,194,43,8342,4713,3893,Monsoon
2025-02-01,Paracetamol,North,205,13,2665,3926,1972,Winter
2025-02-01,Insulin,South,145,28,4060,541,3914,Spring
2025-02-01,Vitamin C,East,250,7,1750,3740,3944,Summer
2025-02-01,Antibiotic,East,185,23,4255,1613,2144,Monsoon
2025-02-01,Pain Relief,West,120,23,2760,4932,1218,Monsoon
2025-02-01,Cough Syrup,North,53,8,424,420,1533,Spring
2025-02-02,Paracetamol,West,170,50,8500,1119,621,Spring
2025-02-02,Insulin,East,152,46,6992,4733,3552,Monsoon
2025-02-02,Vitamin C,South,176,22,3872,3255,772,Monsoon
2025-02-02,Antibiotic,North,68,37,2516,628,2361,Spring
2025-02-02,Pain Relief,North,157,35,5495,3588,722,Monsoon
2025-02-02,Cough Syrup,North,234,42,9828,1861,3510,Spring
2025-02-03,Paracetamol,South,136,40,5440,2539,2460,Summer
2025-02-03,Insulin,South,131,36,4716,3048,4473,Winter
2025-02-03,Vitamin C,North,203,14,2842,821,2285,Summer
2025-02-03,Antibiotic,South,295,24,7080,3617,3990,Monsoon
2025-02-03,Pain Relief,North,77,37,2849,989,536,Monsoon
2025-02-03,Cough Syrup,North,181,47,8507,3393,3101,Monsoon
2025-02-04,Paracetamol,East,172,40,6880,810,3997,Monsoon
2025-02-04,Insulin,West,174,46,8004,498,3409,Spring
2025-02-04,Vitamin C,South,259,25,6475,3585,4767,Summer
2025-02-04,Antibiotic,East,203,35,7105,3548,1464,Monsoon
2025-02-04,Pain Relief,East,220,36,7920,945,1263,Summer
2025-02-04,Cough Syrup,South,91,26,2366,1395,3381,Winter
2025-02-05,Paracetamol,North,72,46,3312,1513,4550,Monsoon
2025-02-05,Insulin,North,281,21,5901,2009,4155,Spring
2025-02-05,Vitamin C,North,106,14,1484,3702,3978,Spring
2025-02-05,Antibiotic,South,109,35,3815,3091,713,Monsoon
2025-02-05,Pain Relief,South,294,6,1764,4167,2839,Winter
2025-02-05,Cough Syrup,South,197,9,1773,4042,1843,Monsoon
2025-02-06,Paracetamol,West,282,48,13536,3069,3351,Summer
2025-02-06,Insulin,North,114,7,798,1376,3607,Monsoon
2025-02-06,Vitamin C,South,201,35,7035,4672,3087,Winter
2025-02-06,Antibiotic,North,67,36,2412,995,819,Winter
2025-02-06,Pain Relief,South,242,30,7260,279,3153,Spring
2025-02-06,Cough Syrup,East,269,49,13181,1750,4289,Winter
2025-02-07,Paracetamol,West,254,49,12446,4493,2064,Summer
2025-02-07,Insulin,East,269,9,2421,542,2441,Winter
2025-02-07,Vitamin C,West,103,34,3502,1590,3962,Monsoon
2025-02-07,Antibiotic,North,215,49,10535,2829,2654,Spring
2025-02-07,Pain Relief,West,98,43,4214,886,1911,Winter
2025-02-07,Cough Syrup,East,154,41,6314,2434,3342,Winter
2025-02-08,Paracetamol,North,256,11,2816,4217,2925,Summer
2025-02-08,Insulin,South,101,38,3838,1634,1677,Summer
2025-02-08,Vitamin C,West,300,30,9000,2687,1973,Spring
2025-02-08,Antibiotic,East,158,24,3792,2709,3813,Winter
2025-02-08,Pain Relief,North,237,47,11139,2461,4635,Summer
2025-02-08,Cough Syrup,East,54,33,1782,3193,2471,Summer
2025-02-09,Paracetamol,North,269,45,12105,3040,3319,Monsoon
2025-02-09,Insulin,East,78,39,3042,1316,4868,Winter
2025-02-09,Vitamin C,West,146,29,4234,3884,4967,Winter
2025-02-09,Antibiotic,South,50,11,550,2991,2704,Spring
2025-02-09,Pain Relief,North,94,32,3008,2041,3586,Summer
2025-02-09,Cough Syrup,South,291,40,11640,1777,4144,Summer
2025-02-10,Paracetamol,East,287,20,5740,2215,2608,Winter
2025-02-10,Insulin,East,123,42,5166,4748,2922,Summer
2025-02-10,Vitamin C,West,167,17,2839,3394,4292,Winter
2025-02-10,Antibiotic,East,122,14,1708,3967,4425,Spring
2025-02-10,Pain Relief,North,138,35,4830,1228,4263,Summer
2025-02-10,Cough Syrup,South,150,49,7350,962,3371,Spring
2025-02-11,Paracetamol,South,191,42,8022,3846,4467,Winter
2025-02-11,Insulin,East,289,15,4335,3262,2287,Summer
2025-02-11,Vitamin C,West,54,11,594,2354,3357,Summer
2025-02-11,Antibiotic,South,112,17,1904,1932,1386,Spring
2025-02-11,Pain Relief,East,121,47,5687,725,750,Winter
2025-02-11,Cough Syrup,South,197,14,2758,2225,1419,Winter
2025-02-12,Paracetamol,North,54,37,1998,4089,4691,Monsoon
2025-02-12,Insulin,East,252,46,11592,2240,1849,Monsoon
2025-02-12,Vitamin C,North,209,28,5852,3049,2226,Spring
2025-02-12,Antibiotic,East,95,40,3800,4159,2280,Monsoon
2025-02-12,Pain Relief,East,163,29,4727,4303,4451,Spring
2025-02-12,Cough Syrup,South,237,29,6873,256,1104,Winter
2025-02-13,Paracetamol,East,298,26,7748,3421,2043,Winter
2025-02-13,Insulin,North,213,10,2130,912,2694,Summer
2025-02-13,Vitamin C,South,219,31,6789,3567,2633,Winter
2025-02-13,Antibiotic,South,77,5,385,1779,2130,Summer
2025-02-13,Pain Relief,West,55,33,1815,667,3866,Spring
2025-02-13,Cough Syrup,West,116,20,2320,1897,2836,Spring
2025-02-14,Paracetamol,West,177,27,4779,1919,4523,Monsoon
2025-02-14,Insulin,South,167,50,8350,4502,517,Winter
2025-02-14,Vitamin C,South,235,35,8225,3928,2780,Summer
2025-02-14,Antibiotic,South,293,32,9376,560,3553,Spring
2025-02-14,Pain Relief,West,254,17,4318,2925,871,Winter
2025-02-14,Cough Syrup,South,173,15,2595,327,4909,Summer
2025-02-15,Paracetamol,West,238,17,4046,4832,3048,Monsoon
2025-02-15,Insulin,East,168,19,3192,1946,1828,Summer
2025-02-15,Vitamin C,North,203,17,3451,2617,4471,Spring
2025-02-15,Antibiotic,South,82,20,1640,1004,661,Spring
2025-02-15,Pain Relief,South,80,8,640,1033,3189,Monsoon
2025-02-15,Cough Syrup,North,217,23,4991,4566,698,Monsoon
2025-02-16,Paracetamol,South,224,42,9408,2857,2611,Summer
2025-02-16,Insulin,East,140,22,3080,3382,4177,Monsoon
2025-02-16,Vitamin C,West,202,25,5050,4740,4129,Summer
2025-02-16,Antibiotic,West,154,10,1540,997,565,Monsoon
2025-02-16,Pain Relief,South,52,48,2496,1539,3107,Summer
2025-02-16,Cough Syrup,North,222,28,6216,1932,4835,Winter
2025-02-17,Paracetamol,North,153,26,3978,453,1080,Summer
2025-02-17,Insulin,West,55,50,2750,1693,2149,Summer
2025-02-17,Vitamin C,South,177,18,3186,1601,2063,Summer
2025-02-17,Antibiotic,West,254,24,6096,1998,2677,Winter
2025-02-17,Pain Relief,South,147,28,4116,4246,2454,Monsoon
2025-02-17,Cough Syrup,East,208,21,4368,2973,619,Spring
2025-02-18,Paracetamol,North,226,13,2938,1992,1055,Winter
2025-02-18,Insulin,West,241,18,4338,2753,4126,Summer
2025-02-18,Vitamin C,East,205,27,5535,3292,2566,Spring
2025-02-18,Antibiotic,East,263,48,12624,2851,705,Monsoon
2025-02-18,Pain Relief,South,168,33,5544,2477,2307,Winter
2025-02-18,Cough Syrup,North,248,8,1984,2558,719,Summer
2025-02-19,Paracetamol,South,224,20,4480,1308,2695,Summer
2025-02-19,Insulin,West,230,46,10580,3884,4075,Summer
2025-02-19,Vitamin C,East,204,33,6732,3335,1222,Summer
2025-02-19,Antibiotic,East,67,13,871,397,1669,Monsoon
2025-02-19,Pain Relief,South,294,16,4704,2909,3024,Spring
2025-02-19,Cough Syrup,North,273,23,6279,530,1576,Spring
2025-02-20,Paracetamol,North,140,33,4620,243,1845,Summer
2025-02-20,Insulin,North,108,28,3024,4706,4701,Summer
2025-02-20,Vitamin C,West,107,24,2568,3818,4550,Monsoon
2025-02-20,Antibiotic,East,54,40,2160,2543,717,Winter
2025-02-20,Pain Relief,West,51,35,1785,4991,2338,Spring
2025-02-20,Cough Syrup,East,52,33,1716,4818,3423,Monsoon
2025-02-21,Paracetamol,South,91,15,1365,2507,4440,Spring
2025-02-21,Insulin,North,159,17,2703,3508,2204,Winter
2025-02-21,Vitamin C,East,175,20,3500,387,3824,Winter
2025-02-21,Antibiotic,East,258,14,3612,1624,1945,Winter
2025-02-21,Pain Relief,North,200,34,6800,1412,2011,Winter
2025-02-21,Cough Syrup,West,165,47,7755,3946,534,Summer
2025-02-22,Paracetamol,South,201,41,8241,713,1000,Summer
2025-02-22,Insulin,North,74,10,740,4251,3067,Summer
2025-02-22,Vitamin C,North,150,42,6300,1574,4029,Winter
2025-02-22,Antibiotic,West,196,33,6468,4375,4447,Summer
2025-02-22,Pain Relief,East,64,10,640,405,1639,Winter
2025-02-22,Cough Syrup,South,165,29,4785,3563,4401,Summer
2025-02-23,Paracetamol,South,214,22,4708,3421,4556,Spring
2025-02-23,Insulin,South,271,7,1897,538,2697,Summer
2025-02-23,Vitamin C,West,120,16,1920,402,3085,Winter
2025-02-23,Antibiotic,West,170,28,4760,2740,1595,Winter
2025-02-23,Pain Relief,North,187,6,1122,4315,1564,Summer
2025-02-23,Cough Syrup,North,241,41,9881,2056,2196,Spring
2025-02-24,Paracetamol,West,52,32,1664,804,4096,Monsoon
2025-02-24,Insulin,West,97,46,4462,3687,516,Summer
2025-02-24,Vitamin C,South,293,10,2930,3391,3842,Winter
2025-02-24,Antibiotic,South,219,24,5256,3633,2244,Winter
2025-02-24,Pain Relief,South,125,17,2125,2039,4664,Monsoon
2025-02-24,Cough Syrup,South,119,20,2380,2488,3135,Monsoon
2025-02-25,Paracetamol,North,118,37,4366,3167,3612,Summer
2025-02-25,Insulin,South,254,48,12192,2700,626,Winter
2025-02-25,Vitamin C,South,137,35,4795,261,3464,Winter
2025-02-25,Antibiotic,West,204,5,1020,4609,1170,Spring
2025-02-25,Pain Relief,North,77,8,616,2754,3498,Summer
2025-02-25,Cough Syrup,South,217,27,5859,4353,2718,Monsoon
2025-02-26,Paracetamol,East,290,9,2610,4981,2089,Spring
2025-02-26,Insulin,North,261,14,3654,2364,953,Monsoon
2025-02-26,Vitamin C,East,178,29,5162,3948,4358,Spring
2025-02-26,Antibiotic,East,192,25,4800,1690,3733,Winter
2025-02-26,Pain Relief,East,212,37,7844,2099,1106,Spring
2025-02-26,Cough Syrup,West,276,41,11316,3334,1506,Monsoon
2025-02-27,Paracetamol,East,101,50,5050,1463,1127,Spring
2025-02-27,Insulin,North,200,30,6000,1166,2054,Monsoon
2025-02-27,Vitamin C,West,167,39,6513,2809,816,Spring
2025-02-27,Antibiotic,North,172,24,4128,391,3301,Summer
2025-02-27,Pain Relief,North,281,17,4777,3997,3516,Monsoon
2025-02-27,Cough Syrup,South,99,17,1683,3189,1904,Summer
2025-02-28,Paracetamol,North,227,47,10669,3987,1108,Summer
2025-02-28,Insulin,East,114,31,3534,3197,2631,Summer
2025-02-28,Vitamin C,West,234,26,6084,633,3824,Monsoon
2025-02-28,Antibiotic,North,186,29,5394,1316,1903,Spring
2025-02-28,Pain Relief,North,134,47,6298,1917,731,Spring
2025-02-28,Cough Syrup,West,54,23,1242,4697,2421,Summer
2025-03-01,Paracetamol,West,213,47,10011,261,4932,Monsoon
2025-03-01,Insulin,South,94,13,1222,2930,1487,Summer
2025-03-01,Vitamin C,North,148,8,1184,773,2415,Winter
2025-03-01,Antibiotic,South,193,25,4825,4287,4086,Spring
2025-03-01,Pain Relief,East,92,30,2760,4873,1889,Spring
2025-03-01,Cough Syrup,West,238,33,7854,2569,1306,Monsoon
2025-03-02,Paracetamol,South,151,23,3473,2001,4567,Monsoon
2025-03-02,Insulin,East,244,31,7564,4560,1831,Summer
2025-03-02,Vitamin C,East,129,48,6192,3720,1163,Spring
2025-03-02,Antibiotic,East,289,28,8092,3392,3984,Summer
2025-03-02,Pain Relief,East,287,12,3444,2394,4164,Spring
2025-03-02,Cough Syrup,South,114,34,3876,3325,3914,Spring
2025-03-03,Paracetamol,North,162,36,5832,2287,2468,Monsoon
2025-03-03,Insulin,South,134,12,1608,2984,1308,Monsoon
2025-03-03,Vitamin C,South,171,24,4104,273,4586,Spring
2025-03-03,Antibiotic,East,167,18,3006,2689,4906,Monsoon
2025-03-03,Pain Relief,North,164,16,2624,1530,4660,Summer
2025-03-03,Cough Syrup,South,127,12,1524,1863,683,Summer
2025-03-04,Paracetamol,South,227,30,6810,3967,1214,Monsoon
2025-03-04,Insulin,East,194,25,4850,4923,1905,Spring
2025-03-04,Vitamin C,South,223,7,1561,3479,4564,Spring
2025-03-04,Antibiotic,East,105,25,2625,3723,2027,Winter
2025-03-04,Pain Relief,South,62,24,1488,1439,1308,Winter
2025-03-04,Cough Syrup,West,116,5,580,3814,2326,Monsoon
2025-03-05,Paracetamol,East,189,43,8127,2800,1746,Monsoon
2025-03-05,Insulin,West,299,50,14950,2932,2925,Winter
2025-03-05,Vitamin C,East,300,33,9900,336,1477,Monsoon
2025-03-05,Antibiotic,South,54,34,1836,1211,3767,Summer
2025-03-05,Pain Relief,North,96,17,1632,2052,1823,Winter
2025-03-05,Cough Syrup,West,153,50,7650,4836,2602,Summer
2025-03-06,Paracetamol,North,186,15,2790,4518,3377,Monsoon
2025-03-06,Insulin,East,231,34,7854,4286,3502,Spring
2025-03-06,Vitamin C,South,253,24,6072,441,1831,Spring
2025-03-06,Antibiotic,North,105,15,1575,4349,2380,Monsoon
2025-03-06,Pain Relief,West,76,12,912,3951,2735,Summer
2025-03-06,Cough Syrup,South,255,14,3570,4929,1301,Monsoon
2025-03-07,Paracetamol,East,115,44,5060,4139,4970,Summer
2025-03-07,Insulin,South,165,45,7425,4926,2961,Spring
2025-03-07,Vitamin C,North,117,23,2691,4790,3005,Monsoon
2025-03-07,Antibiotic,West,167,10,1670,1157,4165,Spring
2025-03-07,Pain Relief,East,205,8,1640,2525,860,Summer
2025-03-07,Cough Syrup,North,226,5,1130,3872,2673,Winter
2025-03-08,Paracetamol,East,241,48,11568,3940,1067,Monsoon
2025-03-08,Insulin,South,142,9,1278,3475,3415,Winter
2025-03-08,Vitamin C,North,259,42,10878,2758,4190,Winter
2025-03-08,Antibiotic,East,215,33,7095,330,4054,Winter
2025-03-08,Pain Relief,East,90,41,3690,689,3633,Winter
2025-03-08,Cough Syrup,South,145,50,7250,3603,4264,Monsoon
2025-03-09,Paracetamol,West,241,14,3374,272,1897,Spring
2025-03-09,Insulin,West,205,15,3075,1974,4859,Spring
2025-03-09,Vitamin C,South,145,8,1160,1934,3816,Summer
2025-03-09,Antibiotic,North,149,23,3427,1924,4559,Spring
2025-03-09,Pain Relief,South,117,32,3744,2929,3220,Summer
2025-03-09,Cough Syrup,North,126,6,756,814,540,Monsoon
2025-03-10,Paracetamol,East,220,47,10340,1096,684,Summer
2025-03-10,Insulin,North,178,33,5874,479,3389,Summer
2025-03-10,Vitamin C,South,261,37,9657,2665,4874,Spring
2025-03-10,Antibiotic,West,166,21,3486,2544,678,Summer
2025-03-10,Pain Relief,West,297,45,13365,1885,4487,Spring
2025-03-10,Cough Syrup,West,79,12,948,4189,1876,Spring
2025-03-11,Paracetamol,West,127,48,6096,625,2726,Summer
2025-03-11,Insulin,North,119,43,5117,1842,2828,Spring
2025-03-11,Vitamin C,East,166,47,7802,4465,1269,Spring
2025-03-11,Antibiotic,South,145,39,5655,229,4315,Summer
2025-03-11,Pain Relief,West,266,8,2128,3718,2859,Monsoon
2025-03-11,Cough Syrup,South,92,12,1104,1097,2862,Winter
